*Fecha de Pago,*Forma de Pago,*Monto,*Moneda,*Tipo de cambio del dia del pago para moneda del pago,Tipo de cambio del dia del pago para moneda del documento relacionado,*Numero de Operacion,Banco Ordenante,Banco Beneficiario,*Numero de Parcialidad,*Serie de la Factura,*Folio de la Factura,Importe Pagado,Importe Saldo Anterior,Importe Saldo Insoluto
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79930,1418.09,1418.09,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79931,228.96,228.96,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79932,709.84,709.84,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79933,318.35,318.35,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79934,776.22,776.22,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79935,966.96,966.96,0
23/11/2020,17,1201286.89,USD,20.1172,22.413484,,,,1,FAC,79936,1075.93,1075.93,0
23/11/2020,17,1201286.89,USD,20.1172,22.413484,,,,1,FAC,79937,476.57,476.57,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79938,1153.57,1153.57,0
23/11/2020,17,1201286.89,USD,20.1172,22.413484,,,,1,FAC,79939,112.88,112.88,0
23/11/2020,17,1201286.89,USD,20.1172,22.413484,,,,1,FAC,79940,418.58,418.58,0
23/11/2020,17,1201286.89,USD,20.1172,21.129588,,,,1,FAC,79942,212.39,212.39,0
23/11/2020,17,1201286.89,USD,20.1172,21.129588,,,,1,FAC,79943,212.39,212.39,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79948,750,750,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79949,745,745,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79950,745,745,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79951,745,745,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79952,955,955,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79953,955,955,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79954,745,745,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79955,687.23,687.23,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79956,61.95,61.95,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79957,3.15,3.15,0
23/11/2020,17,1201286.89,USD,20.1172,21.921652,,,,1,FAC,79960,745,745,0
23/11/2020,17,1201286.89,USD,20.1172,21.746222,,,,1,FAC,79963,210,210,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79964,8980.93,8980.93,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79965,9095.93,9095.93,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79966,9095.93,9095.93,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79967,9095.93,9095.93,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79968,9095.93,9095.93,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79969,8980.93,8980.93,0
23/11/2020,17,1201286.89,USD,20.1172,22.456771,,,,1,FAC,79970,8980.93,8980.93,0
23/11/2020,17,1201286.89,USD,20.1172,21.788866,,,,1,FAC,79974,65,65,0
23/11/2020,17,1201286.89,USD,20.1172,21.544295,,,,1,FAC,80007,955,955,0
23/11/2020,17,1201286.89,USD,20.1172,21.544295,,,,1,FAC,80008,955,955,0
23/11/2020,17,1201286.89,USD,20.1172,21.544295,,,,1,FAC,80010,745,745,0
23/11/2020,17,1201286.89,USD,20.1172,21.544295,,,,1,FAC,80011,745,745,0
